choice,leftcolor,rightcolor,leftwait,rightwait,leftbuffer,rightbuffer,iti,waitrange,buffrange,reactiontime
2,5,3,0.463119916833527,0.168469275891999,0,1.76790384564917,1,6,6,0.386558150872588
1,6,2,0.77517552477083,0.18282710629647,0,3.55409051084616,1,6,6,0.426700884941965
1,6,2,0.525759297202229,0.436508077865703,0,0.535507316019156,1,6,6,0.426547334995121
2,2,4,0.042932742760951,0.531507284627998,2.93144725120228,0,1,6,6,0.599670498864725
2,4,3,0.584075582951343,0.558322663213277,0,0.154517518428396,1,6,6,0.4394723221194
2,4,5,0.423976484417904,0.655942403551164,1.39179551479956,0,1,6,6,0.812623666832224
1,3,4,0.0362310046498808,0.934495150546774,5.38958487538136,0,1,6,6,0.373375169932842
1,2,4,0.416430038128248,0.939650821471424,3.13932470005905,0,1,6,6,0.386521433945745
1,4,5,0.710840455587413,0.999923296272719,1.73449704411183,0,1,6,6,0.493163134204224
1,6,2,0.810817149845332,0.403837450502365,0,2.44187819605781,1,6,6,0.359950223006308
1,2,3,0.281953916550592,0.799475465807819,3.10512929554336,0,1,6,6,0.466497841989622
2,3,6,0.71028731004814,0.798819979093419,0.531196014271675,0,1,6,6,0.413067759945989
2,5,4,0.585939506341675,0.468530132653439,0,0.704456242129419,1,6,6,0.639834361150861
2,6,4,0.591971099652337,0.258271856819406,0,2.00219545699758,1,6,6,0.599698980106041
2,3,4,0.316854809558417,0.378784248316094,0.371576632546064,0,1,6,6,0.56025502900593
1,6,5,0.313261152390978,0.214274603507609,0,0.593919293300211,1,6,6,0.46663838904351
1,3,5,0.856670225438043,0.933947561743645,0.463664017833613,0,1,6,6,0.546736267860979
1,2,3,0.387748791085439,0.893931772976151,3.03709789134427,0,1,6,6,0.506844324991107
2,3,6,0.0523310136293671,0.527346068773114,2.85009033086248,0,1,6,6,0.613271218957379
2,5,3,0.782005485977049,0.166202816258279,0,3.69481601831262,1,6,6,0.426716309040785
1,6,2,0.642787675206916,0.332457202641506,0,1.86198283539246,1,6,6,0.373506101081148
1,3,4,0.13962444110756,0.667981694763518,3.17014352193575,0,1,6,6,0.359870865009725
1,6,3,0.367469442248097,0.0589158637723494,0,1.85132147085449,1,6,6,0.547061820048839
1,2,3,0.01955903182717,0.245375115072995,1.35489649947495,0,1,6,6,0.373265131842345
2,5,3,0.9485168126172,0.234542066806248,0,4.28384847486571,1,6,6,0.412878596922383
2,5,4,0.974119201756138,0.0214239154110774,0,5.71617171807036,1,6,6,0.386536554899067
2,2,5,0.516663107330288,0.556844900155833,0.241090756953271,0,1,6,6,0.453768667997792
2,3,4,0.651669066702793,0.80898742601694,0.94391015588488,0,1,6,6,1.77304418990389
1,5,2,0.777373103786899,0.309755346416382,0,2.8057065442231,1,6,6,0.453423782018945
1,2,4,0.447247534732915,0.889316256106513,2.65241232824159,0,1,6,6,0.466465676901862
2,6,5,0.99412112310255,0.193715984557623,0,4.80243083126956,1,6,6,0.39963995385915
2,5,4,0.505572285272913,0.153398581851925,0,2.11304222052593,1,6,6,0.399585561826825
1,4,2,0.977582958516471,0.295589788954514,0,4.09195901737174,1,6,6,0.599704238120466
2,4,5,0.355172908564644,0.409552875165619,0.32627979960585,0,1,6,6,0.466196230147034
2,4,6,0.116121117545348,0.647622584666881,3.1890088027292,0,1,6,6,0.573203535983339
2,4,6,0.167827050745407,0.312141835369236,0.865888707742974,0,1,6,6,0.439672684064135
1,4,5,0.00700622191978908,0.753571805895107,4.47939350385191,0,1,6,6,0.360424214042723
1,5,2,0.777227359254485,0.393275255986152,0,2.30371261961,1,6,6,0.492695711087435
2,4,5,0.228252221470816,0.235086260007269,0.0410042312187162,0,1,6,6,0.466660266043618
2,2,6,0.347740624727561,0.476679796109293,0.773635028290392,0,1,6,6,0.426848515868187
1,5,3,0.265251106240438,0.0753425830394694,0,1.13945113920581,1,6,6,0.399968553101644
1,6,2,0.806754512622373,0.123093644214372,0,4.101965210448,1,6,6,0.373184604104608
1,5,6,0.0211552917124495,0.556987811139313,3.21499511656118,0,1,6,6,0.373958096140996
1,5,2,0.597340676280363,0.164312330616783,0,2.59817007398148,1,6,6,0.466699721990153
1,3,2,0.45590411380674,0.211129642655668,0,1.46864682690643,1,6,6,0.386519639054313
2,3,2,0.917391382584996,0.263099743641494,0,3.92574983366102,1,6,6,0.466266697039828
2,6,5,0.927129727288675,0.269326540766902,0,3.94681911913064,1,6,6,0.426491630962119
1,4,5,0.317364651391918,0.947695943968229,3.78198775545787,0,1,6,6,0.399867615895346
1,6,4,0.677871786839269,0.282541671433738,0,2.37198069243318,1,6,6,0.426499451044947
2,5,4,0.771262870063662,0.142605537149406,0,3.77194399748554,1,6,6,0.372483394108713
1,6,3,0.540922895791439,0.179005231325983,0,2.17150598679274,1,6,6,0.359861831879243
2,2,4,0.655177000749473,0.884015896769248,1.37303337611865,0,1,6,6,1.63980781589635
1,4,6,0.271005415949507,0.907554650170521,3.81929540532608,0,1,6,6,0.479347177082673
2,3,6,0.352506936226276,0.584077155023849,1.38942131278544,0,1,6,6,0.440027486998588
2,4,2,0.478566743656326,0.00990531128361137,0,2.81196859423628,1,6,6,0.413038979051635
1,6,3,0.751676145359723,0.271538744341367,0,2.88082440611013,1,6,6,0.43994559510611
1,4,5,0.441652232986713,0.849079807684328,2.44456544818569,0,1,6,6,0.506661348044872
2,3,6,0.400763392635045,0.630340017206194,1.37745974742689,0,1,6,6,0.453814991982654
2,2,3,0.283026314006665,0.823259510017587,3.24139917606553,0,1,6,6,1.07967212516814
1,4,3,0.391466158158829,0.371720175431911,0,0.118475896361505,1,6,6,0.439650424057618
2,3,6,0.379135105935454,0.517902013155586,0.832601443320792,0,1,6,6,0.386734627885744
1,5,2,0.596838735321927,0.421764552789631,0,1.05044509519378,1,6,6,0.453050968935713
1,2,5,0.59364035706671,0.914594730788187,1.92572624232887,0,1,6,6,0.519702905789018
2,2,3,0.293732726617592,0.406871763713132,0.678834222573244,0,1,6,6,0.453599587082863
1,3,5,0.0108860950036375,0.962598726135957,5.71027578679392,0,1,6,6,0.386586098000407
1,4,2,0.441968170666121,0.159044385496082,0,1.69754271102023,1,6,6,0.479267925955355
1,2,3,0.653658382433308,0.808571051251409,0.92947601290861,0,1,6,6,3.23934445506893
1,2,5,0.457427991301486,0.992249804079649,3.20893087666898,0,1,6,6,0.479643057100475
2,4,3,0.740648113536019,0.518042520861161,0,1.33563355604915,1,6,6,0.533130853902549
2,2,5,0.570171879404304,0.878777148145613,1.85163161244785,0,1,6,6,0.706943554105237
1,4,2,0.634081065950022,0.000475422013772382,0,3.8016338636175,1,6,6,0.586752041010186
2,4,6,0.718414957969643,0.789832713450227,0.428506532883508,0,1,6,6,0.45301220798865
1,3,2,0.776536227565508,0.210732226823798,0,3.39482400445027,1,6,6,0.43987920996733
1,3,2,0.897968416986041,0.317659187744213,0,3.48185537545097,1,6,6,0.51996565493755
1,2,3,0.566832728482239,0.757667600995706,1.1450092350808,0,1,6,6,0.573261505924165
