choice,leftcolor,rightcolor,leftwait,rightwait,leftbuffer,rightbuffer,iti,waitrange,buffrange,reactiontime
1,3,2,0.92275903044397,0.811024671798118,0,0.670406151875111,1,6,6,0.26705318223685
2,3,6,0.54957548461369,0.715169902292625,0.993566506073608,0,1,6,6,0.279820626601577
1,4,3,0.771343873241611,0.453130918300306,0,1.90927772964783,1,6,6,0.346589514054358
2,5,4,0.786344561626364,0.0930472542965073,0,4.15978384397914,1,6,6,0.266690745949745
2,5,3,0.798868181090275,0.577519584250413,0,1.32809158103917,1,6,6,1.3461179593578
1,3,2,0.315297716444031,0.208720274832435,0,0.639464649669577,1,6,6,0.32041840441525
2,4,6,0.749325927695877,0.92114888593608,1.03093774944122,0,1,6,6,0.279558059759438
1,3,5,0.130636020624375,0.604458299281289,2.84293367194148,0,1,6,6,0.266819714568555
2,5,4,0.426805593737776,0.321613950804627,0,0.631149857598893,1,6,6,0.320321488194168
1,6,5,0.900789309712494,0.565928337893415,0,2.00916583091447,1,6,6,0.293104037642479
2,6,3,0.621708655553734,0.057373891611292,0,3.38600858365465,1,6,6,0.346623620018363
1,2,3,0.359211031049123,0.554135729816805,1.1695481926061,0,1,6,6,1.33287122007459
2,2,6,0.244600597882923,0.826039424085077,3.48863295721292,0,1,6,6,0.306478027254343
1,2,4,0.262489738996369,0.665043311968932,2.41532143783538,0,1,6,6,2.82549212127924
1,6,3,0.656004155825825,0.461846964648853,0,1.16494314706183,1,6,6,0.280531533062458
1,2,3,0.542328492059525,0.716876440084016,1.04728768814694,0,1,6,6,3.90577735751867
1,4,6,0.0931513058455434,0.593997346048242,3.00507624121619,0,1,6,6,0.253361131995916
2,6,3,0.649968094960772,0.0137720056873616,0,3.81717653564046,1,6,6,0.253569778986275
1,4,2,0.910548172849486,0.312245525565113,0,3.58981588370624,1,6,6,2.1058359965682
2,4,5,0.572832550188914,0.596671025080919,0.143030849352028,0,1,6,6,0.267002369277179
1,5,6,0.239887628816016,0.668842737408747,2.57373065155639,0,1,6,6,0.267084282822907
2,6,4,0.975265708740459,0.0826426647057024,0,5.35573826420854,1,6,6,0.293125901371241
1,2,4,0.301467874693436,0.444832597600684,0.860188337443484,0,1,6,6,0.305920423939824
2,5,6,0.826737381902867,0.975177641480778,0.890641557467468,0,1,6,6,0.306636044755578
1,3,4,0.0825155424338372,0.226636670169717,0.864726766415279,0,1,6,6,0.240004803054035
2,5,3,0.593918356389701,0.167584572996751,0,2.5580027003577,1,6,6,0.266046916134655
1,6,4,0.882568158620302,0.822150447323057,0,0.362506267783468,1,6,6,0.279918644577265
1,4,2,0.491549831112637,0.478011510091839,0,0.081229926124788,1,6,6,0.279270570725203
2,5,3,0.868309721755008,0.190924514173961,0,4.06431124548629,1,6,6,0.266876884736121
1,4,5,0.620231836391721,0.756388423385279,0.816939521961352,0,1,6,6,14.1141168596223
1,2,3,0.141265378865071,0.72464694861539,3.50028941850191,0,1,6,6,0.279641158878803
1,5,3,0.485707084408825,0.278967659119036,0,1.24043655173873,1,6,6,0.292960725724697
1,4,2,0.841224265210901,0.456225399606035,0,2.30999319362919,1,6,6,4.85175053775311
1,3,2,0.632616264574517,0.467461927545938,0,0.990926022171474,1,6,6,0.279630183242261
2,2,6,0.45347203056024,0.504417625956432,0.30567357237715,0,1,6,6,0.305805904790759
1,6,3,0.900688954582759,0.520194007791669,0,2.28296968074654,1,6,6,0.293345944955945
2,6,5,0.989423655434243,0.0107091940057972,0,5.87228676857068,1,6,6,0.280776223167777
1,2,3,0.568625217102759,0.884023846073087,1.89239177382197,0,1,6,6,1.3858487457037
2,3,4,0.00619804766317739,0.140358552867714,0.804963031227218,0,1,6,6,1.50571565143764
1,3,2,0.875619266124265,0.533005750520623,0,2.05568109362185,1,6,6,2.34583432320505
1,3,2,0.935616884350598,0.912975280505128,0,0.135849623072823,1,6,6,3.25222110003233
1,6,2,0.950872978172671,0.32214414808999,0,3.77237298049609,1,6,6,3.89197880588472
1,2,4,0.0955039896515682,0.640750610102318,3.2714797227045,0,1,6,6,0.266735824756324
2,2,3,0.455138733822451,0.516699353939248,0.36936372070078,0,1,6,6,0.293325074017048
1,2,4,0.457351988394443,0.714868945402498,1.54510174204833,0,1,6,6,6.17062084097415
1,5,6,0.131007073508113,0.835884450858405,4.22926426410175,0,1,6,6,0.266537183895707
2,4,3,0.883152139784373,0.13801335596387,0,4.47083270292302,1,6,6,0.22746193036437
1,6,3,0.66075993499754,0.392227503653722,0,1.61119458806291,1,6,6,11.8354864204302
2,2,5,0.383386525038344,0.406401105879993,0.138087485049892,0,1,6,6,0.280281296931207
1,3,5,0.0273184101224497,0.605939627441549,3.4717273039146,0,1,6,6,0.240019008517265
1,2,4,0.372694749558668,0.880655832533099,3.04776649784658,0,1,6,6,29.0423167105764
1,5,2,0.870094258277721,0.209607312087718,0,3.96292167714002,1,6,6,17.8205094896257
1,3,5,0.944663669888239,0.962299811636237,0.105816850487989,0,1,6,6,18.5133790969849
2,2,5,0.474835560878197,0.561271679849025,0.518616713824969,0,1,6,6,6.53067363332957
1,6,4,0.519386678244633,0.331901257546573,0,1.12491252418836,1,6,6,0.292993961833417
2,2,3,0.489373501618101,0.900441695424002,2.46640916283541,0,1,6,6,4.99820734001696
1,3,5,0.0038830065186522,0.967156772952134,5.77964259860089,0,1,6,6,0.266408542171121
1,3,2,0.611915421957111,0.434319742691852,0,1.06557407559155,1,6,6,28.109084286727
2,5,4,0.914869759657825,0.216050569068664,0,4.19291514353497,1,6,6,0.266550635918975
1,2,3,0.372809493156527,0.898100363508845,3.15174522211391,0,1,6,6,39.5182170979679
1,4,6,0.473488723614015,0.990805824282954,3.10390260401364,0,1,6,6,2.50524916499853
1,3,5,0.00820244057485947,0.858418741663182,5.10129780652993,0,1,6,6,0.280594440177083
1,6,2,0.426084000815677,0.193801709075366,0,1.39369375044186,1,6,6,0.265877070836723
2,6,3,0.690886739031825,0.140101796081337,0,3.30470965770293,1,6,6,0.253393285907805
1,5,4,0.426554179949013,0.368086306549649,0,0.350807240396183,1,6,6,1.66614312585443
1,2,3,0.183182795151688,0.530742142130966,2.08535608187567,0,1,6,6,0.266858093440533
2,5,3,0.897230105426735,0.116790458148713,0,4.68263788366813,1,6,6,0.266480719670653
1,4,5,0.149399305297713,0.954124138669169,4.82834900022873,0,1,6,6,0.267125212587416
1,4,5,0.400861536339327,0.889534173947542,2.93203582564929,0,1,6,6,0.439406462945044
1,4,2,0.897988958702418,0.500428911531544,0,2.38536028302524,1,6,6,3.77144265081733
1,3,6,0.0368226706221805,0.878625146988139,5.05081485819575,0,1,6,6,1.67990037892014
1,2,3,0.696850689452538,0.976479850698486,1.67777496747569,0,1,6,6,57.4043030971661
1,3,4,0.0815547150939492,0.690096584004395,3.65125121346267,0,1,6,6,0.266345231793821
2,6,3,0.567561418082361,0.00475371023861398,0,3.37684624706248,1,6,6,0.266838340088725
1,4,6,0.138018105243341,0.670294824834119,3.19366031754467,0,1,6,6,0.253710607998073
2,4,3,0.908901248084801,0.20026827519772,0,4.25179783732248,1,6,6,0.266265200451016
1,5,3,0.984341794617633,0.832542138561859,0,0.910797936334646,1,6,6,21.6583607159555
2,6,5,0.966771905294979,0.535412292711163,0,2.5881576755029,1,6,6,2.54580490943044
2,5,6,0.200152318552207,0.960017906948932,4.55919353038035,0,1,6,6,0.30634724907577
1,5,2,0.335071174118235,0.169235144354978,0,0.995016178579543,1,6,6,0.253120269626379
1,4,3,0.992668909482969,0.786361680266616,0,1.23784337529812,1,6,6,25.736820702441
1,2,3,0.253049458029237,0.930222707768075,4.06303949843302,0,1,6,6,0.240007261745632
1,2,4,0.255224926981714,0.538838295051287,1.70168020841744,0,1,6,6,0.212955246679485
2,6,5,0.562178886291654,0.54054190383318,0,0.129821894750847,1,6,6,0.746568400412798
1,5,6,0.170701097776508,0.973350329777855,4.81589539200808,0,1,6,6,0.266600603237748
2,2,6,0.269046720708276,0.666464511615441,2.38450674544298,0,1,6,6,0.293180104345083
1,5,3,0.771667424948731,0.414411113324767,0,2.14353786974379,1,6,6,0.266606389544904
1,2,4,0.727374635975517,0.985506840509133,1.5487932272017,0,1,6,6,27.2563564023003
2,3,2,0.691837403779774,0.0405004960673398,0,3.9080214462746,1,6,6,0.346601043827832
1,5,2,0.75120685331114,0.648464997135319,0,0.616451137054922,1,6,6,42.9440316529945
1,5,6,0.0305483425178325,0.425992697210048,2.37266612815329,0,1,6,6,0.226801605895162
1,3,4,0.0178473889910837,0.961066773143162,5.65931630491247,0,1,6,6,0.25295093562454
1,3,5,0.710658855601521,0.876581820601868,0.995537790002087,0,1,6,6,45.0763005595654
2,2,3,0.450455362186979,0.803272276559506,2.11690148623516,0,1,6,6,0.266584432683885
2,4,3,0.923380977904136,0.264095634810671,0,3.95571205856079,1,6,6,0.266719127073884
1,4,6,0.366043000186814,0.373973109002213,0.0475806528923944,0,1,6,6,0.253157705068588
2,2,6,0.307265312088311,0.724537827411917,2.50363509194163,0,1,6,6,0.426587967202067
1,4,2,0.836675604729296,0.238521846588013,0,3.5889225488477,1,6,6,17.1004028813913
1,2,4,0.351131702005459,0.470515605747009,0.716303422449298,0,1,6,6,10.0231537632644
1,4,6,0.0622925553760922,0.474151382909227,2.47115296519881,0,1,6,6,11.6092233415693
1,3,5,0.699522766144724,0.87913059437607,1.07764696938807,0,1,6,6,57.3388150725514
1,4,5,0.0356878130862898,0.805074541273096,4.61632036912084,0,1,6,6,0.306787590496242
2,4,3,0.641747511756489,0.106838921134751,0,3.20945154373043,1,6,6,0.266216940246522
1,6,3,0.980869192155483,0.805853565133109,0,1.05009376213425,1,6,6,0.266759883612394
1,5,4,0.509041990390533,0.468732493682174,0,0.241856980250151,1,6,6,0.280115284025669
1,4,6,0.082027114034643,0.629705580244635,3.28607079725995,0,1,6,6,0.266433181241155
1,2,3,0.21521039689668,0.872327911608074,3.94270508826836,0,1,6,6,9.24970174394548
1,2,4,0.472412788529141,0.841736809276853,2.21594412448627,0,1,6,6,1.34599654562771
1,5,4,0.779290512101394,0.535636888135056,0,1.46192174379803,1,6,6,57.4050886575133
1,3,2,0.500106151448612,0.284087396824773,0,1.29611252774303,1,6,6,0.266794084571302
1,3,4,0.220145329935544,0.982560226685628,4.57448938050051,0,1,6,6,0.266816298477352
1,4,6,0.00645767432006899,0.534132297399515,3.16604773847668,0,1,6,6,1.8398831486702
1,2,6,0.177350630134973,0.976508439973233,4.79494685902956,0,1,6,6,0.280137225054204
1,5,3,0.589388714446402,0.385767203469652,0,1.2217290658605,1,6,6,0.227252731099725
1,5,6,0.122287251577846,0.281837268863729,0.957300103715295,0,1,6,6,0.413622188381851
