choice,leftcolor,rightcolor,leftwait,rightwait,leftbuffer,rightbuffer,iti,waitrange,buffrange,reactiontime
2,2,5,0.26736253605567,0.562143487651899,1.76868570957737,0,1,6,6,0.266105410642922
1,5,6,0.375315824698338,0.933065704970185,3.34649928163108,0,1,6,6,0.253263706341386
2,2,4,0.563766435051228,0.993607649576668,2.57904728715264,0,1,6,6,0.386232974939048
1,3,2,0.536343360569488,0.322861091384134,0,1.28089361511212,1,6,6,3.34576301183552
2,3,2,0.459041809876935,0.115698601638758,0,2.06005924942906,1,6,6,0.266670560464263
2,3,6,0.567798086240794,0.645181638489096,0.464301313489816,0,1,6,6,0.266177093610168
2,5,4,0.370449265637644,0.140807571886483,0,1.37785016250697,1,6,6,0.279691431671381
1,6,2,0.483974789960298,0.164294862730566,0,1.91807956337839,1,6,6,0.773051320575178
1,4,5,0.387604776950369,0.473486204852111,0.51528856741045,0,1,6,6,1.8656340399757
1,6,3,0.657963591934165,0.394089637507726,0,1.58324372655863,1,6,6,3.13211260735989
2,4,5,0.193255866036404,0.734526879030525,3.24762607796473,0,1,6,6,2.45259170699865
2,2,6,0.509250896754326,0.590439058183897,0.487128968577426,0,1,6,6,0.279784712940454
1,5,6,0.378887105443928,0.929992198911492,3.30663056080538,0,1,6,6,2.13249794300646
2,4,3,0.795187497416133,0.716269072944424,0,0.473510546830255,1,6,6,6.62414501141757
1,2,4,0.282731973232111,0.883458245491357,3.60435763355547,0,1,6,6,0.466773277148604
2,4,6,0.76854084095384,0.8659139111945,0.584238421443961,0,1,6,6,0.267007210291922
1,5,4,0.763414488995175,0.62526110635384,0,0.828920295848008,1,6,6,0.386278444901109
1,6,4,0.933651288009086,0.877197568713314,0,0.338722315774636,1,6,6,0.280209505930543
1,2,5,0.579994637789202,0.969877323121707,2.33929611199503,0,1,6,6,0.746092421002686
2,4,3,0.936280434921514,0.789012689976493,0,0.883606469670128,1,6,6,9.9835859099403
1,2,4,0.253158527544308,0.835372437180659,3.49328345781811,0,1,6,6,0.359915042296052
2,5,2,0.653656263674449,0.280457764994566,0,2.2391909920793,1,6,6,2.97236432041973
1,2,5,0.193130198490401,0.939246028167776,4.47669497806425,0,1,6,6,15.6078382106498
1,4,6,0.437545213586439,0.625717709598,1.12903497606937,0,1,6,6,3.34558755066246
1,6,3,0.437991169950921,0.317593365124237,0,0.7223868289601,1,6,6,0.267126518301666
1,4,6,0.193828119055288,0.669196962224877,2.85221305901753,0,1,6,6,0.253526734188199
1,2,6,0.545840094585828,0.826295343612458,1.68273149415978,0,1,6,6,1.29372018855065
2,4,5,0.172733953303068,0.18380274492493,0.066412749731174,0,1,6,6,0.479958813637495
1,2,3,0.0676196399459707,0.900224169669777,4.99562717834284,0,1,6,6,0.253368838690221
1,2,5,0.149905710550913,0.911176884971176,4.56762704652158,0,1,6,6,4.58479760959744
1,6,4,0.838208397309393,0.768533578966061,0,0.418048910059989,1,6,6,0.266528426669538
1,4,3,0.964471241442706,0.740344170360055,0,1.34476242649591,1,6,6,3.47823572251946
2,6,3,0.781587612247834,0.246193942262881,0,3.21236201990971,1,6,6,0.266635752283037
2,4,2,0.886222968290664,0.334496711070881,0,3.3103575433187,1,6,6,5.30524589587003
1,4,5,0.19556867945733,0.922795639337411,4.36336175928049,0,1,6,6,0.266974939033389
1,2,6,0.0561684188694546,0.368897255216212,1.87637301808054,0,1,6,6,0.253329550847411
1,2,3,0.408744255736817,0.682835053504834,1.6445447866081,0,1,6,6,27.3891138611361
1,6,4,0.412701921729698,0.281198511031083,0,0.789020464191689,1,6,6,0.279955350793898
1,5,2,0.945927230150405,0.556431601548768,0,2.33697377160982,1,6,6,2.63871852587909
1,4,6,0.108458667112728,0.864818163618826,4.53815697903659,0,1,6,6,0.226383968256414
1,3,4,0.0770001816921868,0.763912476954941,4.12147377157652,0,1,6,6,0.253448045812547
1,2,4,0.243915399184411,0.37771428068062,0.802793288977255,0,1,6,6,0.386594146490097
1,3,4,0.110889711468895,0.723380657715434,3.67494567747924,0,1,6,6,0.253518597222865
