choice,leftcolor,rightcolor,leftwait,rightwait,leftbuffer,rightbuffer,iti,waitrange,buffrange,reactiontime
2,2,5,0.630830589509956,0.749606165918338,0.712653458450294,0,1,6,6,0.43970905104652
1,4,2,0.909986211876379,0.138263006293337,0,4.63033923349825,1,6,6,0.506496645975858
1,3,5,0.0597341507951422,0.951872413955569,5.35282957896256,0,1,6,6,0.359622590709478
1,6,2,0.547758867287896,0.183282507668847,0,2.1868581577143,1,6,6,0.360411140136421
2,2,4,0.0663180784631139,0.607944729555372,3.24975990655355,0,1,6,6,0.573131882119924
1,6,2,0.914723494516091,0.589927692241002,0,1.94877481365054,1,6,6,0.413244005758315
1,4,6,0.0900581609877097,0.884696260972273,4.76782859990738,0,1,6,6,0.373483578208834
1,6,3,0.8217449275878,0.432011765629059,0,2.33839897175245,1,6,6,0.413881155662239
1,3,2,0.828653294513306,0.660607404848844,0,1.00827533798678,1,6,6,0.466729442588985
1,5,6,0.172188005955977,0.660092353662519,2.92742608623925,0,1,6,6,0.439915547147393
1,6,4,0.34798976562358,0.303703694280099,0,0.265716428060884,1,6,6,0.413487032987177
1,6,4,0.358085877894464,0.33684524816314,0,0.127443778387943,1,6,6,0.386105745099485
2,2,5,0.129992548436854,0.784761578210053,3.92861417863919,0,1,6,6,0.42656762059778
1,4,3,0.906876428009419,0.872125554304628,0,0.208505242228743,1,6,6,0.519581638276577
1,3,4,0.233284407403918,0.811035237652732,3.46650498149288,0,1,6,6,0.386655779089779
2,2,4,0.157511808982823,0.733513268983696,3.45600876000524,0,1,6,6,0.62723138788715
1,6,2,0.212531741341824,0.0568342078741799,0,0.934185200805862,1,6,6,0.38630154216662
2,2,6,0.436713857779612,0.849807701934971,2.47856306493215,0,1,6,6,0.440345428884029
1,3,5,0.482239470110386,0.998774145263608,3.09920805091933,0,1,6,6,0.466328403912485
2,5,3,0.906681516629961,0.285113743173477,0,3.7294066407389,1,6,6,0.454023610334843
2,4,3,0.815320126160663,0.233463159405376,0,3.49114180053172,1,6,6,0.426278516184539
2,2,6,0.609205675129409,0.919781899973649,1.86345734906544,0,1,6,6,0.413341077975929
2,5,4,0.369991378099654,0.149186052917124,0,1.32483195109518,1,6,6,0.440061266999692
1,5,2,0.525271052739243,0.230583388465728,0,1.76812598564109,1,6,6,0.426244431640953
2,3,5,0.392540244568391,0.423890460945615,0.188101298263344,0,1,6,6,0.426914467010647
1,5,2,0.829903871207453,0.194363383666781,0,3.81324292524403,1,6,6,0.466044628061354
2,5,3,0.864181316394443,0.295384641408634,0,3.41278004991486,1,6,6,0.39965950883925
1,6,3,0.966017542391092,0.856834967088343,0,0.655095451816495,1,6,6,0.399587259162217
1,6,3,0.768687942888908,0.338256133877792,0,2.5825908540667,1,6,6,0.386488689109683
1,2,4,0.448608474083528,0.972478646306544,3.14322103333809,0,1,6,6,0.520029081963003
2,4,6,0.228794802552459,0.35424649918184,0.752710179776284,0,1,6,6,0.413387760985643
2,3,6,0.782939291458083,0.981839884529747,1.19340355842998,0,1,6,6,0.412626953795552
1,6,3,0.717110303098853,0.135283935878092,0,3.49095820332456,1,6,6,0.800123150926083
1,5,3,0.784417157892332,0.699172696424263,0,0.511466768808414,1,6,6,0.453167082276195
1,5,3,0.933322520429884,0.351600865065866,0,3.49032993218411,1,6,6,0.560050102882087
1,5,2,0.998921037651096,0.865879801970851,0,0.798247414081473,1,6,6,0.506231009960175
2,5,3,0.792321394100935,0.083821760063908,0,4.25099780422216,1,6,6,0.373518305830657
2,3,5,0.504673542689846,0.553013903346385,0.290042163939235,0,1,6,6,0.440047984942794
2,2,5,0.45293864070109,0.539734263224404,0.520773735139879,0,1,6,6,0.413192414212972
2,2,6,0.0262110061134263,0.452729589516637,2.55911150041926,0,1,6,6,0.399735474027693
1,6,5,0.573408444213405,0.524993955402167,0,0.290486932867433,1,6,6,0.425896151922643
2,3,2,0.929126420025307,0.827741365333899,0,0.60831032814845,1,6,6,1.38563601113856
1,5,3,0.280669178944393,0.206890518407752,0,0.442671963219844,1,6,6,0.359952538274229
1,5,2,0.951621979918155,0.825248504907474,0,0.758240850064084,1,6,6,0.427016254048795
2,4,6,0.447548508386849,0.640474061314237,1.15755331756433,0,1,6,6,0.399505080189556
1,6,3,0.623186729207256,0.410282809944024,0,1.27742351557939,1,6,6,0.399594185873866
2,3,4,0.634063497480966,0.705202162594163,0.426831990679182,0,1,6,6,0.467075128108263
1,2,3,0.510376950032253,0.890552173317667,2.28105133971248,0,1,6,6,0.519404023885727
2,3,5,0.77596926771848,0.874146246758358,0.589061874239269,0,1,6,6,0.66644528368488
1,5,3,0.406814843605652,0.337076480191702,0,0.418430180483698,1,6,6,0.453129142057151
1,6,4,0.933932327168962,0.512223117292031,0,2.53025525926159,1,6,6,0.386734324973077
1,6,2,0.520037846416253,0.276084717957342,0,1.46371877075346,1,6,6,0.400095178280026
1,5,2,0.991162997200695,0.410483201225513,0,3.48407877585109,1,6,6,0.466207347810268
1,5,6,0.310865124366649,0.673071390796952,2.17323759858182,0,1,6,6,0.373541438952088
2,3,2,0.548880229494013,0.0300171058764761,0,3.11317874170522,1,6,6,0.373823645990342
2,4,5,0.484688346499898,0.535936496004433,0.30748889702721,0,1,6,6,0.426254911813885
1,2,3,0.252305660979965,0.931293645841672,4.07392790917024,0,1,6,6,0.479462145827711
2,4,3,0.782189926962457,0.266102458008613,0,3.09652481372306,1,6,6,0.439933110028505
1,3,2,0.784973273884958,0.26255637372963,0,3.13450140093197,1,6,6,0.466907393187284
1,2,4,0.599450600146991,0.966236670485808,2.2007164220329,0,1,6,6,0.533719516824931
2,3,6,0.741918458483144,0.882176588234574,0.84154877850858,0,1,6,6,0.38683938793838
2,3,2,0.708817995949098,0.0836382946388974,0,3.7510782078612,1,6,6,0.42650134023279
2,2,5,0.273739310574596,0.491716174172105,1.30786118158505,0,1,6,6,0.427041456568986
2,4,6,0.243604705782423,0.421684036693389,1.06847598546579,0,1,6,6,0.439825417008251
1,5,2,0.571138932635607,0.132040806641821,0,2.63458875596271,1,6,6,0.400498391129076
1,6,5,0.646956791936865,0.402802082897537,0,1.46492825423597,1,6,6,0.426641051191837
2,6,4,0.763500518986723,0.153222609848353,0,3.66166745483022,1,6,6,0.385834322776645
1,4,6,0.275953962596112,0.95824935285293,4.09377234154091,0,1,6,6,0.373226913157851
2,2,4,0.0981530505689574,0.658320912466534,3.36100717138546,0,1,6,6,0.559760218951851
2,2,5,0.635089565829881,0.950332902814417,1.89146002190721,0,1,6,6,0.919753222260624
1,4,2,0.153731200449975,0.055819225989198,0,0.587471846764661,1,6,6,0.360332978889346
2,3,6,0.309669639593768,0.617632652454838,1.84777807716642,0,1,6,6,0.412818996235728
1,5,6,0.139523515077086,0.971717900583389,4.99316631303782,0,1,6,6,0.359881059266627
1,4,6,0.0584849631686159,0.956775974927831,5.38974607055529,0,1,6,6,0.359888155013323
1,2,4,0.189855724661544,0.905164386567271,4.29185197143436,0,1,6,6,0.37298559397459
1,2,3,0.576896005113095,0.891157935788463,1.88557158405221,0,1,6,6,0.600235288031399
2,5,6,0.539987434884527,0.5688181042526,0.172984016208437,0,1,6,6,0.426385011989623
2,2,5,0.0553761497397796,0.337243730359359,1.69120548371747,0,1,6,6,0.386474474798888
1,4,6,0.404386172259406,0.807604235507364,2.41930837948774,0,1,6,6,0.39992437697947
1,2,3,0.437306534702567,0.810928746038549,2.24173326801589,0,1,6,6,0.532618072815239
1,2,3,0.176151084330003,0.571274334365164,2.37073950021096,0,1,6,6,0.667032988276333
1,4,2,0.951147326711168,0.422797117113507,0,3.17010125758597,1,6,6,0.519477398134768
2,4,6,0.352257975541175,0.3997949205338,0.285221669955748,0,1,6,6,0.38612486096099
1,2,5,0.123337014635716,0.925204982480595,4.81120780706927,0,1,6,6,0.399565348867327
1,4,6,0.0765775754473068,0.672938452881267,3.57816526460376,0,1,6,6,0.400062703993171
2,2,5,0.157754085565803,0.372916104445661,1.29097211327915,0,1,6,6,0.413517163135111
2,5,4,0.820678895255867,0.150192565354608,0,4.02291797940755,1,6,6,0.386478343978524
2,4,6,0.00483556185142862,0.200333482213474,1.17298752217227,0,1,6,6,0.627047806046903
2,2,6,0.688994925324337,0.937709926132909,1.49229000485143,0,1,6,6,0.413781151175499
1,2,4,0.133981176248743,0.821629212620495,4.12588821823052,0,1,6,6,0.70657476503402
2,2,5,0.178641619709619,0.429702459568951,1.50636503915599,0,1,6,6,0.372794777154922
2,2,6,0.0954448152777948,0.141010373896458,0.273393351711982,0,1,6,6,0.360212805215269
1,3,5,0.275049281900306,0.753280898441226,2.86938969924552,0,1,6,6,0.399627723731101
1,3,2,0.429351557711769,0.111630461696363,0,1.90632657609243,1,6,6,0.373935104813427
1,6,2,0.388194250589327,0.3807696548201,0,0.044547574615361,1,6,6,0.360287047922611
1,3,4,0.0562024894432176,0.731960266703721,4.05454666356302,0,1,6,6,0.413284245878458
1,6,3,0.475134204828709,0.050661934563267,0,2.54683362159265,1,6,6,0.412393475882709
1,4,2,0.82321557906606,0.784237363275251,0,0.233869294744855,1,6,6,0.746840863022953
2,5,3,0.724734410049736,0.135581884596302,0,3.5349151527206,1,6,6,0.37358087580651
2,4,6,0.499613721621974,0.811655834695164,1.87225267843914,0,1,6,6,0.412641374859959
2,2,3,0.244167754074637,0.55252241136158,1.85012794372166,0,1,6,6,0.546286781784147
1,3,2,0.518156541752702,0.224818120815241,0,1.76003052562477,1,6,6,0.386824382934719
1,3,4,0.592659059256622,0.820808926048134,1.36889920074907,0,1,6,6,3.39856773614883
2,6,5,0.8919205991048,0.186046999500155,0,4.23524159762787,1,6,6,0.37345553515479
2,4,6,0.428069885553825,0.570566503131095,0.85497970546362,0,1,6,6,0.399950063787401
2,3,6,0.197863985410828,0.500002799788491,1.81283288626598,0,1,6,6,0.399978129658848
1,6,3,0.855754989597832,0.49210779764322,0,2.18188315172767,1,6,6,0.412860765121877
1,4,6,0.179143500597749,0.864814546361945,4.11402627458518,0,1,6,6,0.386410744860768
1,6,3,0.888953080349114,0.63442142756396,0,1.52718991671092,1,6,6,0.426788857206702
2,5,6,0.438905679825184,0.687760821863898,1.49313085223228,0,1,6,6,0.44013793207705
1,2,3,0.692331069471469,0.880388667285623,1.12834558688493,0,1,6,6,0.586678680963814
2,2,6,0.583595862418225,0.821299672509217,1.42622286054596,0,1,6,6,0.41326083894819
2,2,5,0.668675169660093,0.801610559598361,0.797612339629611,0,1,6,6,0.452324063982815
1,3,2,0.124542498087763,0.080688078925334,0,0.263126514974575,1,6,6,0.359746688976884
1,3,2,0.705431401126753,0.443904648741663,0,1.56916051431054,1,6,6,0.466968661174178
2,2,6,0.432552883602936,0.916314714549256,2.90257098567792,0,1,6,6,0.413344676140696
1,3,4,0.141972389603952,0.480522518735622,2.03130077479002,0,1,6,6,0.386002043727785
2,3,2,0.90455390601631,0.837498416117159,0,0.402332939394905,1,6,6,1.7733158338815
1,4,5,0.0842065811549344,0.540434593120792,2.73736807179515,0,1,6,6,0.360519441310316
1,4,5,0.0827197060374169,0.6356329338791,3.3174793670501,0,1,6,6,0.359767748974264
1,4,2,0.741362203257793,0.195319888272937,0,3.27625388990913,1,6,6,0.466591995209455
2,2,6,0.606569260641266,0.609563597761823,0.0179660227233385,0,1,6,6,0.426699901930988
1,3,4,0.193680842031576,0.668482994040699,2.84881291205474,0,1,6,6,0.373533777426928
2,5,3,0.790302107012971,0.0936984769504976,0,4.17962178037484,1,6,6,0.399574016220868
2,6,5,0.889545672056054,0.00284938095270162,0,5.32017774662011,1,6,6,0.400226564146578
2,6,5,0.959571824390242,0.52365252679384,0,2.61551578557841,1,6,6,0.413347063120455
2,2,6,0.691375814700208,0.709745426061445,0.110217668167417,0,1,6,6,0.413762435782701
1,4,3,0.540161162866355,0.260221345936983,0,1.67963890157623,1,6,6,0.466053485870361
1,6,4,0.648571798414258,0.476387729624467,0,1.03310441273875,1,6,6,0.452870913781226
2,4,3,0.901455599768765,0.31569592762538,0,3.51455803286031,1,6,6,0.386854984797537
2,3,6,0.218793936175664,0.269685304383601,0.305348209247621,0,1,6,6,0.360462074168026
